epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9087,0,56.3219,0,0,0,0,0,0,56.3049,0,0.00034,0.00034,0.00034
2,88.953,0,48.383,0,0,0,0,0,0,53.3184,0,0.00068614,0.00068614,0.00068614
3,131.696,0,41.4973,0,0,0,0,0,0,43.9528,0,0.00101802,0.00101802,0.00101802
4,173.008,0,37.6621,0,0,0,0,0,0,35.9316,0,0.00133565,0.00133565,0.00133565
5,215.976,0,35.0123,0,0,0,0,0,0,25.2678,0,0.00163902,0.00163902,0.00163902
