epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1798.48,0.98795,1.10863,1.14915,0.34399,0.59896,0.4048,0.22293,1.27236,2.08408,1.52598,0.000990365,0.000990365,0.000990365
43,1841.85,0.96806,1.08885,1.16239,0.36856,0.50031,0.4042,0.22872,1.21799,2.37936,1.50594,0.000973861,0.000973861,0.000973861
44,1884.4,0.97129,1.04372,1.13759,0.38691,0.59222,0.46892,0.27415,1.21782,1.7557,1.45557,0.000957358,0.000957358,0.000957358
45,1927.15,0.95124,1.06263,1.12234,0.4547,0.47886,0.41883,0.25772,1.30195,1.45625,1.54683,0.000940855,0.000940855,0.000940855
46,1969.87,0.98467,1.08572,1.14387,0.35386,0.46814,0.38608,0.2522,1.33213,1.46189,1.5584,0.000924352,0.000924352,0.000924352
47,2013.66,0.93502,1.01171,1.09151,0.30995,0.42616,0.41819,0.26376,1.36848,1.55389,1.57522,0.000907848,0.000907848,0.000907848
48,2056.68,0.93261,0.96206,1.10816,0.41191,0.51285,0.4623,0.27518,1.1973,1.67473,1.44715,0.000891345,0.000891345,0.000891345
49,2100.35,0.93573,1.0217,1.11819,0.41811,0.55607,0.44911,0.26989,1.21145,1.38717,1.46067,0.000874842,0.000874842,0.000874842
50,2142.18,0.94499,1.00959,1.12363,0.48399,0.5655,0.44281,0.25432,1.2378,1.36531,1.46079,0.000858338,0.000858338,0.000858338
51,2183.58,0.94881,1.05208,1.12907,0.46491,0.54718,0.42701,0.24637,1.24335,1.37859,1.45268,0.000841835,0.000841835,0.000841835
52,2225.92,0.88865,0.96175,1.06895,0.33578,0.52636,0.38588,0.23835,1.28406,1.4555,1.50627,0.000825332,0.000825332,0.000825332
53,2268.15,0.94762,1.00382,1.11522,0.37936,0.55607,0.41384,0.23846,1.40654,1.64088,1.60318,0.000808828,0.000808828,0.000808828
54,2310.37,0.95733,1.02449,1.11915,0.47337,0.49593,0.45546,0.22404,1.46858,1.64023,1.68677,0.000792325,0.000792325,0.000792325
55,2351.04,0.89951,0.97342,1.07294,0.45348,0.58333,0.45611,0.23157,1.42873,1.66738,1.6732,0.000775822,0.000775822,0.000775822
56,2395.66,0.90021,0.95783,1.0774,0.4538,0.58241,0.45807,0.24952,1.41047,1.64071,1.61969,0.000759318,0.000759318,0.000759318
57,2438.6,0.87348,0.98569,1.08171,0.48878,0.58245,0.48645,0.24465,1.46535,1.72944,1.65699,0.000742815,0.000742815,0.000742815
58,2481.02,0.84958,0.94062,1.07693,0.4667,0.48866,0.47616,0.23957,1.49218,1.63142,1.67161,0.000726312,0.000726312,0.000726312
59,2521.17,0.8734,0.92328,1.08296,0.4667,0.52972,0.48767,0.25071,1.43469,1.5631,1.6089,0.000709809,0.000709809,0.000709809
60,2563.67,0.86304,0.9274,1.08724,0.57525,0.51991,0.4944,0.27124,1.3504,1.34467,1.52424,0.000693305,0.000693305,0.000693305
61,2606.11,0.82681,0.88302,1.02088,0.55693,0.55116,0.49997,0.25434,1.39268,1.4847,1.55073,0.000676802,0.000676802,0.000676802
62,2648.3,0.86058,0.8963,1.05627,0.5193,0.54606,0.48105,0.25166,1.37471,1.67693,1.51704,0.000660299,0.000660299,0.000660299
63,2718.06,0.88954,0.9411,1.09331,0.54086,0.59527,0.54063,0.25985,1.39178,1.74153,1.52392,0.000643795,0.000643795,0.000643795
64,2759.56,0.8679,0.9237,1.0783,0.50343,0.58405,0.53201,0.28365,1.31017,1.46864,1.47703,0.000627292,0.000627292,0.000627292
65,2802.38,0.82901,0.86313,1.05163,0.50122,0.53064,0.48481,0.26701,1.29801,1.44313,1.43512,0.000610789,0.000610789,0.000610789
66,2844.89,0.81499,0.86286,1.03309,0.41531,0.58241,0.44724,0.26772,1.31144,1.41556,1.44493,0.000594286,0.000594286,0.000594286
67,2888.27,0.83471,0.85019,1.02969,0.44196,0.65878,0.51984,0.29245,1.3085,1.3745,1.43158,0.000577782,0.000577782,0.000577782
68,2932.81,0.81965,0.83914,1.03019,0.43175,0.58732,0.47517,0.27679,1.29033,1.37292,1.46473,0.000561279,0.000561279,0.000561279
69,2975.87,0.85089,0.86058,1.07384,0.43609,0.64491,0.48405,0.28118,1.28389,1.39641,1.44327,0.000544776,0.000544776,0.000544776
70,3018.81,0.80089,0.8578,1.02753,0.46067,0.64395,0.48946,0.28769,1.29094,1.4275,1.44015,0.000528272,0.000528272,0.000528272
71,3061.75,0.8169,0.82827,1.05702,0.45217,0.59804,0.51676,0.30017,1.23767,1.39193,1.4252,0.000511769,0.000511769,0.000511769
72,3104.43,0.81545,0.79,1.02995,0.49744,0.55607,0.55124,0.3151,1.27321,1.37314,1.45311,0.000495266,0.000495266,0.000495266
73,3147.41,0.81631,0.82163,1.04553,0.58219,0.53064,0.5713,0.3224,1.22348,1.27413,1.43333,0.000478762,0.000478762,0.000478762
74,3189.58,0.81617,0.80665,1.04174,0.55805,0.57751,0.57858,0.32873,1.20841,1.23621,1.4491,0.000462259,0.000462259,0.000462259
75,3232.48,0.7704,0.78484,1.03401,0.50575,0.58241,0.5557,0.32309,1.1382,1.25426,1.4142,0.000445756,0.000445756,0.000445756
76,3277.08,0.83429,0.7882,1.03748,0.47264,0.60784,0.49358,0.27963,1.23469,1.376,1.46984,0.000429253,0.000429253,0.000429253
77,3322.88,0.8451,0.82753,1.07226,0.4164,0.63419,0.46201,0.2698,1.28689,1.43238,1.49914,0.000412749,0.000412749,0.000412749
78,3366.24,0.75029,0.75837,1.00862,0.39608,0.54044,0.45891,0.2727,1.29383,1.47853,1.49156,0.000396246,0.000396246,0.000396246
79,3409.14,0.77873,0.77869,1.02982,0.41881,0.54037,0.4656,0.27437,1.2834,1.42475,1.475,0.000379743,0.000379743,0.000379743
80,3451.49,0.75655,0.78087,1.03612,0.51605,0.51717,0.54215,0.30889,1.31445,1.48497,1.52549,0.000363239,0.000363239,0.000363239
81,3494.29,0.76788,0.78401,1.03721,0.55852,0.57751,0.5706,0.31646,1.377,1.45621,1.57274,0.000346736,0.000346736,0.000346736
82,3536.71,0.81909,0.79457,1.05231,0.49902,0.59314,0.57191,0.31926,1.40286,1.41862,1.62128,0.000330233,0.000330233,0.000330233
83,3579.78,0.76338,0.77378,1.00745,0.54077,0.62929,0.58636,0.32806,1.36857,1.32595,1.61339,0.000313729,0.000313729,0.000313729
84,3622.28,0.82603,0.83439,1.06763,0.62826,0.59805,0.58617,0.32484,1.28286,1.2642,1.54232,0.000297226,0.000297226,0.000297226
85,3664.45,0.74912,0.79566,1.0224,0.62912,0.55208,0.57467,0.31925,1.27676,1.29832,1.52916,0.000280723,0.000280723,0.000280723
86,3707.02,0.75079,0.77591,0.99993,0.62862,0.54136,0.56283,0.31187,1.29606,1.31551,1.54753,0.00026422,0.00026422,0.00026422
87,3749.47,0.7694,0.77291,1.03265,0.60925,0.55939,0.56308,0.31298,1.29186,1.37057,1.53491,0.000247716,0.000247716,0.000247716
88,3791.59,0.7556,0.7824,1.02902,0.59405,0.55116,0.5444,0.30257,1.29232,1.39148,1.52708,0.000231213,0.000231213,0.000231213
89,3834.25,0.75191,0.78878,1.03307,0.67401,0.55116,0.56893,0.30527,1.33944,1.35709,1.55704,0.00021471,0.00021471,0.00021471
90,3877.72,0.77566,0.76796,1.02555,0.6421,0.5268,0.54761,0.30085,1.36891,1.38141,1.56171,0.000198206,0.000198206,0.000198206
91,3920.93,0.74408,0.80959,1.01485,0.61391,0.48468,0.54477,0.29621,1.3804,1.42582,1.57119,0.000181703,0.000181703,0.000181703
92,3962.73,0.74524,0.77431,1.03399,0.59114,0.46415,0.51899,0.29269,1.38068,1.42825,1.5708,0.0001652,0.0001652,0.0001652
93,4004.74,0.70573,0.70596,0.98434,0.47661,0.56679,0.52562,0.29206,1.3781,1.41241,1.56936,0.000148696,0.000148696,0.000148696
94,4046.75,0.71224,0.68912,0.99151,0.62048,0.51593,0.51311,0.28795,1.33054,1.37712,1.5281,0.000132193,0.000132193,0.000132193
95,4088.48,0.69126,0.66579,0.97235,0.60467,0.54229,0.52883,0.28483,1.28998,1.37728,1.49865,0.00011569,0.00011569,0.00011569
96,4130.45,0.6574,0.64885,0.97212,0.57689,0.60876,0.52276,0.28166,1.25611,1.38048,1.47705,9.91865e-05,9.91865e-05,9.91865e-05
97,4172.31,0.6757,0.63862,0.968,0.57074,0.60876,0.53194,0.28176,1.25074,1.3921,1.47752,8.26832e-05,8.26832e-05,8.26832e-05
98,4214.01,0.67998,0.66711,0.97356,0.54503,0.6153,0.52417,0.28334,1.24632,1.41255,1.47531,6.61799e-05,6.61799e-05,6.61799e-05
99,4256.41,0.67426,0.64321,0.95111,0.53027,0.60796,0.52499,0.28883,1.24237,1.42543,1.47367,4.96766e-05,4.96766e-05,4.96766e-05
100,4299.12,0.6648,0.64344,0.9851,0.55957,0.59804,0.53963,0.29289,1.22747,1.43521,1.46399,3.31733e-05,3.31733e-05,3.31733e-05
