epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.224,1.40977,3.08728,1.29905,0.00818,0.52919,0.13201,0.07539,1.457,3.05626,1.38469,0.00053979,0.00053979,0.00053979
2,79.8334,1.25809,2.02589,1.21082,0.00787,0.46569,0.17688,0.08474,1.56426,3.03748,1.49644,0.00108461,0.00108461,0.00108461
3,116.56,1.2788,1.81007,1.19307,0.87037,0.30814,0.34528,0.22852,1.49888,1.94653,1.65217,0.00161843,0.00161843,0.00161843
4,154.839,1.26589,1.77998,1.20003,0.80734,0.36765,0.3461,0.18485,1.68051,2.12028,1.71626,0.00161749,0.00161749,0.00161749
5,193.013,1.22192,1.68299,1.16597,0.70773,0.40196,0.21656,0.12515,1.53313,2.16679,1.59943,0.00160099,0.00160099,0.00160099
6,231.073,1.22296,1.66742,1.20063,0.84737,0.38235,0.38814,0.26796,1.31961,1.93088,1.47639,0.00158448,0.00158448,0.00158448
7,269.142,1.26686,1.5842,1.21001,0.86444,0.42647,0.45356,0.26079,1.58692,2.21677,1.64957,0.00156798,0.00156798,0.00156798
8,307.027,1.16912,1.44679,1.16204,0.87676,0.42157,0.47671,0.27283,1.54572,1.99313,1.5554,0.00155148,0.00155148,0.00155148
9,345.227,1.18355,1.45726,1.15327,0.3411,0.38935,0.43533,0.27467,1.38263,1.64631,1.44378,0.00153497,0.00153497,0.00153497
10,383.31,1.11992,1.38911,1.13567,0.39185,0.42764,0.43853,0.27289,1.30491,1.66196,1.37884,0.00151847,0.00151847,0.00151847
11,421.582,1.14022,1.3458,1.17163,0.29026,0.5869,0.33526,0.16744,1.53661,2.17474,1.4865,0.00150197,0.00150197,0.00150197
12,459.437,1.08913,1.33313,1.09975,0.89606,0.37357,0.50305,0.28896,1.34738,2.46935,1.44202,0.00148546,0.00148546,0.00148546
13,497.379,1.09921,1.34282,1.11872,0.3569,0.54523,0.44949,0.22966,1.52613,1.87096,1.59861,0.00146896,0.00146896,0.00146896
14,535.138,1.01812,1.25708,1.08866,0.33878,0.42233,0.4774,0.29648,1.38629,1.50997,1.43953,0.00145246,0.00145246,0.00145246
15,573.828,1.0769,1.26578,1.09391,0.89939,0.42809,0.51701,0.31289,1.36526,1.60842,1.44271,0.00143595,0.00143595,0.00143595
16,612.163,1.0419,1.14162,1.07312,0.44579,0.52384,0.46715,0.29491,1.25864,1.65281,1.36793,0.00141945,0.00141945,0.00141945
17,650.263,1.01841,1.15843,1.07685,0.36692,0.63792,0.46366,0.30335,1.25117,1.41221,1.3863,0.00140295,0.00140295,0.00140295
18,687.979,1.0554,1.21351,1.10469,0.38995,0.59737,0.52913,0.34754,1.22753,1.3195,1.37121,0.00138644,0.00138644,0.00138644
19,725.738,1.06204,1.23305,1.11286,0.35388,0.59247,0.52407,0.33039,1.23266,1.40333,1.33813,0.00136994,0.00136994,0.00136994
20,763.371,1.00174,1.05146,1.06709,0.46177,0.5742,0.50198,0.33826,1.18365,1.34635,1.30785,0.00135344,0.00135344,0.00135344
21,801.157,0.96042,1.07792,1.06254,0.48388,0.59913,0.52729,0.3392,1.23928,1.30772,1.33404,0.00133693,0.00133693,0.00133693
22,838.792,0.99056,1.08881,1.05516,0.51408,0.54523,0.53466,0.34433,1.22019,1.32305,1.30139,0.00132043,0.00132043,0.00132043
23,876.405,0.99857,1.0949,1.07071,0.38861,0.59247,0.5347,0.33322,1.20117,1.7064,1.30475,0.00130393,0.00130393,0.00130393
24,914.119,0.96023,1.07642,1.04043,0.47136,0.49359,0.53396,0.34672,1.16752,1.51945,1.30027,0.00128742,0.00128742,0.00128742
25,952.053,0.92248,1.0813,1.0499,0.4781,0.50758,0.52029,0.31034,1.34684,1.32784,1.37873,0.00127092,0.00127092,0.00127092
26,989.695,0.98135,1.07337,1.0452,0.55309,0.55637,0.57191,0.33543,1.27834,1.26938,1.33319,0.00125442,0.00125442,0.00125442
27,1027.36,0.97277,0.98825,1.035,0.58316,0.48373,0.54,0.33262,1.20573,1.44439,1.30119,0.00123791,0.00123791,0.00123791
28,1065.23,0.89868,0.95668,1.01669,0.56759,0.5379,0.51982,0.32446,1.27594,1.29911,1.40767,0.00122141,0.00122141,0.00122141
29,1102.87,0.98885,1.05664,1.081,0.57305,0.60695,0.56489,0.34981,1.29723,1.19949,1.37935,0.00120491,0.00120491,0.00120491
30,1140.5,0.92903,0.9944,1.04388,0.42562,0.6195,0.59251,0.37643,1.19479,1.39139,1.30348,0.0011884,0.0011884,0.0011884
31,1178.4,0.95823,0.99669,1.05556,0.51643,0.63379,0.62194,0.37639,1.24563,1.43318,1.29657,0.0011719,0.0011719,0.0011719
32,1216.04,0.94469,0.96234,1.03523,0.55997,0.60542,0.6235,0.40174,1.19131,1.28476,1.28231,0.0011554,0.0011554,0.0011554
33,1254.11,0.93535,0.94301,1.03246,0.44773,0.66221,0.57679,0.38694,1.09871,1.59671,1.22835,0.00113889,0.00113889,0.00113889
34,1291.98,0.9072,0.92372,1.03764,0.39168,0.64439,0.57121,0.36506,1.19563,1.73569,1.28222,0.00112239,0.00112239,0.00112239
35,1329.44,0.95828,0.98829,1.06013,0.4513,0.61238,0.57244,0.35845,1.27908,1.38856,1.31826,0.00110589,0.00110589,0.00110589
36,1367.23,0.93486,0.93736,1.05142,0.44404,0.7012,0.57527,0.37356,1.17586,1.19216,1.27907,0.00108938,0.00108938,0.00108938
37,1404.87,0.88499,0.8849,1.00943,0.50097,0.65264,0.55957,0.35798,1.15488,1.52362,1.28055,0.00107288,0.00107288,0.00107288
38,1442.64,0.87633,0.87716,1.01077,0.48784,0.67598,0.49546,0.31552,1.08201,1.35016,1.24675,0.00105638,0.00105638,0.00105638
39,1480.51,0.89834,0.92251,1.01236,0.42559,0.59069,0.48165,0.3193,1.12149,1.36879,1.27708,0.00103987,0.00103987,0.00103987
40,1518.27,0.8811,0.92107,1.01801,0.35377,0.6963,0.5219,0.35187,1.11849,1.50564,1.27032,0.00102337,0.00102337,0.00102337
41,1556.27,0.88024,0.88305,1.02818,0.43275,0.6963,0.586,0.38347,1.12187,1.16983,1.26753,0.00100687,0.00100687,0.00100687
42,1594.09,0.8868,0.84724,0.99914,0.5374,0.72549,0.61856,0.38678,1.17257,1.07693,1.29181,0.000990365,0.000990365,0.000990365
43,1631.67,0.88184,0.83162,0.99878,0.52227,0.68004,0.61276,0.3795,1.22495,1.09962,1.31827,0.000973861,0.000973861,0.000973861
44,1669.28,0.85118,0.83012,0.99732,0.44081,0.69474,0.57852,0.38869,1.15124,1.11657,1.29077,0.000957358,0.000957358,0.000957358
45,1707,0.82643,0.80431,1.00275,0.43126,0.6963,0.57069,0.40325,1.12279,1.11335,1.2724,0.000940855,0.000940855,0.000940855
